Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
17/09/2015,5369,5369,5369,5369
18/09/2015,5358,5358,5358,5358
21/09/2015,5267,5267,5267,5267
22/09/2015,5131,5131,5131,5131
23/09/2015,5112,5112,5112,5112
24/09/2015,5046,5046,5046,5046
25/09/2015,5098,5098,5098,5098
28/09/2015,4965,4965,4965,4965
29/09/2015,5010,5010,5010,5010
30/09/2015,5093,5093,5093,5093
01/10/2015,5178,5178,5178,5178
02/10/2015,5081,5081,5081,5081
05/10/2015,5144.5,5144.5,5144.5,5144.5
06/10/2015,5175,5175,5175,5175
07/10/2015,5241,5241,5241,5241
08/10/2015,5160,5160,5160,5160
09/10/2015,5319,5319,5319,5319
12/10/2015,5335,5335,5335,5335
13/10/2015,5260.5,5260.5,5260.5,5260.5
14/10/2015,5278,5278,5278,5278
15/10/2015,5344,5344,5344,5344
16/10/2015,5270,5270,5270,5270
19/10/2015,5240,5240,5240,5240
20/10/2015,5189,5189,5189,5189
21/10/2015,5185.5,5185.5,5185.5,5185.5
22/10/2015,5274,5274,5274,5274
23/10/2015,5295,5295,5295,5295
26/10/2015,5233,5233,5233,5233
27/10/2015,5219.5,5219.5,5219.5,5219.5
28/10/2015,5179,5179,5179,5179
29/10/2015,5161,5161,5161,5161
30/10/2015,5135.5,5135.5,5135.5,5135.5
02/11/2015,5137.5,5137.5,5137.5,5137.5
03/11/2015,5149,5149,5149,5149
04/11/2015,5165.5,5165.5,5165.5,5165.5
05/11/2015,5053,5053,5053,5053
06/11/2015,5000,5000,5000,5000
09/11/2015,4990,4990,4990,4990
10/11/2015,4933.5,4933.5,4933.5,4933.5
11/11/2015,4931,4931,4931,4931
12/11/2015,4872.5,4872.5,4872.5,4872.5
13/11/2015,4825,4825,4825,4825
16/11/2015,4765,4765,4765,4765
17/11/2015,4700,4700,4700,4700
18/11/2015,4669,4669,4669,4669
19/11/2015,4610,4610,4610,4610
20/11/2015,4690,4690,4690,4690
23/11/2015,4515.5,4515.5,4515.5,4515.5
24/11/2015,4527,4527,4527,4527
25/11/2015,4541,4541,4541,4541
26/11/2015,4667,4667,4667,4667
27/11/2015,4636,4636,4636,4636
30/11/2015,4595.5,4595.5,4595.5,4595.5
01/12/2015,4619,4619,4619,4619
02/12/2015,4589,4589,4589,4589
03/12/2015,4525,4525,4525,4525
04/12/2015,4637,4637,4637,4637
07/12/2015,4592.5,4592.5,4592.5,4592.5
08/12/2015,4567.5,4567.5,4567.5,4567.5
09/12/2015,4620,4620,4620,4620
10/12/2015,4572,4572,4572,4572
11/12/2015,4667,4667,4667,4667
14/12/2015,4640,4640,4640,4640
15/12/2015,4586,4586,4586,4586
16/12/2015,4583,4583,4583,4583
17/12/2015,4550,4550,4550,4550
18/12/2015,4650,4650,4650,4650
21/12/2015,4691,4691,4691,4691
22/12/2015,4672.5,4672.5,4672.5,4672.5
23/12/2015,4680,4680,4680,4680
24/12/2015,4665.5,4665.5,4665.5,4665.5
29/12/2015,4685,4685,4685,4685
30/12/2015,4715,4715,4715,4715
31/12/2015,4702,4702,4702,4702
04/01/2016,4645,4645,4645,4645
05/01/2016,4647,4647,4647,4647
06/01/2016,4600,4600,4600,4600
07/01/2016,4514,4514,4514,4514
08/01/2016,4486.5,4486.5,4486.5,4486.5
11/01/2016,4402.5,4402.5,4402.5,4402.5
12/01/2016,4355,4355,4355,4355
13/01/2016,4380,4380,4380,4380
14/01/2016,4365.5,4365.5,4365.5,4365.5
15/01/2016,4310.5,4310.5,4310.5,4310.5
18/01/2016,4360,4360,4360,4360
19/01/2016,4440.5,4440.5,4440.5,4440.5
20/01/2016,4347,4347,4347,4347
21/01/2016,4376,4376,4376,4376
22/01/2016,4468,4468,4468,4468
25/01/2016,4454,4454,4454,4454
26/01/2016,4501,4501,4501,4501
27/01/2016,4507.5,4507.5,4507.5,4507.5
28/01/2016,4553.5,4553.5,4553.5,4553.5
29/01/2016,4541.5,4541.5,4541.5,4541.5
01/02/2016,4534,4534,4534,4534
02/02/2016,4605.5,4605.5,4605.5,4605.5
03/02/2016,4578.5,4578.5,4578.5,4578.5
04/02/2016,4685,4685,4685,4685
05/02/2016,4669,4669,4669,4669
08/02/2016,4572.5,4572.5,4572.5,4572.5
09/02/2016,4530.5,4530.5,4530.5,4530.5
10/02/2016,4507,4507,4507,4507
11/02/2016,4474,4474,4474,4474
12/02/2016,4488.5,4488.5,4488.5,4488.5
15/02/2016,4562,4562,4562,4562
16/02/2016,4583.5,4583.5,4583.5,4583.5
17/02/2016,4562,4562,4562,4562
18/02/2016,4577,4577,4577,4577
19/02/2016,4590,4590,4590,4590
22/02/2016,4696,4696,4696,4696
23/02/2016,4663.5,4663.5,4663.5,4663.5
24/02/2016,4585.5,4585.5,4585.5,4585.5
25/02/2016,4655,4655,4655,4655
26/02/2016,4681,4681,4681,4681
29/02/2016,4705,4705,4705,4705
01/03/2016,4726,4726,4726,4726
02/03/2016,4780,4780,4780,4780
03/03/2016,4830,4830,4830,4830
04/03/2016,4918,4918,4918,4918
07/03/2016,5000,5000,5000,5000
08/03/2016,4980.5,4980.5,4980.5,4980.5
09/03/2016,4935.5,4935.5,4935.5,4935.5
10/03/2016,4920.5,4920.5,4920.5,4920.5
11/03/2016,4941,4941,4941,4941
14/03/2016,4994,4994,4994,4994
15/03/2016,4920,4920,4920,4920
16/03/2016,4945,4945,4945,4945
17/03/2016,5029,5029,5029,5029
18/03/2016,5103,5103,5103,5103
21/03/2016,5079.5,5079.5,5079.5,5079.5
22/03/2016,5070,5070,5070,5070
23/03/2016,5060.5,5060.5,5060.5,5060.5
24/03/2016,4931,4931,4931,4931
29/03/2016,4939.5,4939.5,4939.5,4939.5
30/03/2016,4940,4940,4940,4940
31/03/2016,4855.5,4855.5,4855.5,4855.5
01/04/2016,4880,4880,4880,4880
