Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
13/01/2016,53.882,54.843,53.203,54.27,827112
14/01/2016,54.27,54.503,53.203,54.465,1322949
15/01/2016,53.688,53.814,51.358,51.358,1023703
18/01/2016,49.998,52.232,49.514,51.649,1118446
19/01/2016,53.3,53.582,52.474,52.63,933333
20/01/2016,51.697,52.037,50.358,50.766,1076785
21/01/2016,50.873,52.232,50.435,51.416,1000244
22/01/2016,52.329,53.96,52.203,53.59,1079656
25/01/2016,54.154,54.27,53.26,53.63,780635
26/01/2016,53.057,54.649,52.921,54.465,1376666
27/01/2016,55.135,55.911,54.863,55.387,1374636
28/01/2016,55.766,55.941,54.173,54.368,1261303
29/01/2016,55.115,56.396,54.853,55.824,1876318
01/02/2016,55.339,55.435,54.173,54.62,687098
02/02/2016,55.339,56.562,54.465,54.523,1527620
03/02/2016,54.95,55.639,54.542,55.339,942604
04/02/2016,56.795,58.445,56.601,58.445,1886899
05/02/2016,58.251,61.727,58.105,59.824,2390382
08/02/2016,59.95,60.96,58.988,60.183,754776
09/02/2016,59.221,60.484,56.396,57.183,1617175
10/02/2016,57.192,58.008,56.406,56.872,762553
11/02/2016,56.406,56.504,54.61,55.435,1335678
12/02/2016,55.726,57.261,55.591,56.581,838165
15/02/2016,58.542,59.095,57.795,58.542,936643
16/02/2016,59.221,60.086,58.804,59.067,1019970
17/02/2016,59.426,63.493,59.144,63.008,1824948
18/02/2016,63.59,66.882,63.503,64.183,2938145
19/02/2016,64.465,65.601,63.756,64.465,1513517
22/02/2016,66.504,67.474,66.095,66.988,1451395
23/02/2016,66.872,67.794,65.658,66.62,1078054
24/02/2016,66.028,66.222,62.785,63.396,1556864
25/02/2016,63.299,65.241,62.804,63.406,1268749
26/02/2016,64.756,66.862,64.474,66.212,2192906
29/02/2016,65.532,66.192,64.989,65.959,1035566
01/03/2016,66.144,66.504,64.183,65.707,934134
02/03/2016,67.328,67.746,65.824,66.474,1400174
03/03/2016,65.086,71.445,64.562,71.357,3076466
04/03/2016,72.813,74.076,72.406,73.949,2322515
07/03/2016,73.785,75.231,72.6,74.522,1593634
08/03/2016,74.076,74.658,70.775,70.872,1608467
09/03/2016,70.872,72.222,69.736,71.6,1393532
10/03/2016,71.163,72.328,69.707,69.766,1089314
11/03/2016,70.862,71.765,70.396,70.396,976429
14/03/2016,71.27,72.28,70.93,71.309,1169084
15/03/2016,70.823,71.979,69.95,70.989,1198754
16/03/2016,71.309,71.785,68.193,69.93,1175307
17/03/2016,72.037,73.785,71.562,73.542,1920369
18/03/2016,72.813,74.503,71.707,73.901,1795845
21/03/2016,73.299,74.619,72.833,73.921,638032
22/03/2016,73.688,74.755,71.843,74.755,1120476
23/03/2016,74.755,76.988,73.212,73.785,2650844
24/03/2016,73.581,73.581,71.232,72.28,1394278
29/03/2016,74.125,74.969,72.425,72.813,1430737
30/03/2016,73.328,74.328,72.813,73.979,1017717
31/03/2016,73.785,73.882,72.562,73.882,1190385
01/04/2016,73.591,73.736,71.435,72.804,976325
04/04/2016,72.61,72.61,70.542,71.105,1162200
05/04/2016,70.775,70.775,68.115,68.115,1404239
06/04/2016,68.057,69.377,67.474,67.717,1190549
07/04/2016,68.736,68.92,65.824,65.824,1437949
08/04/2016,66.018,67.067,64.688,64.949,1474189
11/04/2016,65.289,67.261,64.959,66.649,939155
12/04/2016,67.435,68.28,66.552,67.591,1012067
13/04/2016,69.416,71.26,69.037,71.115,1513639
14/04/2016,70.872,71.338,69.707,70.669,939064
15/04/2016,69.989,70.445,68.561,68.93,788381
18/04/2016,67.737,69.144,67.183,68.833,717259
19/04/2016,69.95,72.474,69.533,72.474,1467806
20/04/2016,72.037,74.261,71.435,73.931,1518614
21/04/2016,74.755,75.843,72.474,73.299,1488590
22/04/2016,72.998,73.814,71.998,73.299,930844
25/04/2016,73.056,73.115,71.329,71.795,890045
26/04/2016,71.017,72.232,70.92,71.61,708806
27/04/2016,71.066,72.619,70.532,70.532,682266
28/04/2016,70.513,70.969,68.328,70.173,885144
29/04/2016,70.629,72.241,69.26,72.192,1675083
02/05/2016,72.105,72.338,71.105,71.163,525248
